"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"RS",0.825058228698647,2.28201364014526,0.171912794363837,4.79928344921489,1.59234302137881e-06
"ageâ‰¥61",0.744525666098347,2.10544251532573,0.202616945213995,3.6745478780761,0.000238270962871866
"stageStage II",-0.0784330838754759,0.924563926096417,0.515529881480328,-0.152140713260418,0.879075953415177
"stageStage III",-0.0485829536485636,0.952578316181382,0.682760226660883,-0.0711566839301172,0.943273055202888
"stageStage IV",0.851041344696471,2.3420844997624,0.723297026439239,1.17661391321642,0.239349641973166
"tstageT2",0.749463540692909,2.11586463682041,0.775281782269295,0.966698248086245,0.333694903164975
"tstageT3",1.06777770461978,2.90890785919473,0.839619108127711,1.27174059556702,0.2034653017394
"tstageT4",0.876830804240529,2.40327118781048,0.864015499461219,1.01483226260096,0.31018579185616
"tstageTX",NA,NA,0,NA,NA
"nstageN1",0.360918859918908,1.4346470487779,0.345670822885936,1.04411143788669,0.296433834598821
"nstageN2",0.401818117655661,1.49453947761008,0.437418929741098,0.918611633688309,0.358298744743169
"nstageN3",0.608565469073411,1.83779313580917,0.440276774907773,1.38223386686906,0.166899904510435
"nstageNX",0.644367269413766,1.90478143443012,1.04303160228481,0.617783073880262,0.53671834231616
"mstageM1",-0.293569052324523,0.745597735829653,0.47378831641897,-0.619620708554832,0.535507529616072
"mstageMX",0.0251962356252705,1.02551634362113,0.529165303990521,0.0476150560803243,0.962023032623015
